"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se os usuários podem ser listados corretamente ao consultar por email","438","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Wed Feb 19 18:10:41 GMT 2025","passed","Wed Feb 19 18:10:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","95","testAssertTentaListarProdutoIDInvalido","Surefire suite","Wed Feb 19 18:10:41 GMT 2025","passed","Wed Feb 19 18:10:41 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2601","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Wed Feb 19 18:10:01 GMT 2025","passed","Wed Feb 19 18:10:04 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se um depósito é realizado corretamente com dados válidos","809","testAssertDeveListarProdutosCadastrados","Surefire suite","Wed Feb 19 18:10:40 GMT 2025","passed","Wed Feb 19 18:10:41 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se o produto é cadastrado corretamente com dados válidos","2430","testeDeveCadastrarProdutoValido","Surefire suite","Wed Feb 19 18:10:37 GMT 2025","passed","Wed Feb 19 18:10:40 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se um produto pode ser listado corretamente com ID válido","128","testAssertDeveListarProdutoIDValido","Surefire suite","Wed Feb 19 18:10:40 GMT 2025","passed","Wed Feb 19 18:10:40 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o schema de resposta ao listar usuários por ID está correto","388","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Wed Feb 19 18:10:05 GMT 2025","passed","Wed Feb 19 18:10:05 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","248","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Wed Feb 19 18:10:41 GMT 2025","passed","Wed Feb 19 18:10:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","61","testTentarListarUsuariosPorIDInexistente","Surefire suite","Wed Feb 19 18:10:41 GMT 2025","passed","Wed Feb 19 18:10:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se o schema de produto por ID está correto","136","testSchemaDeveListarProdutoIDValido","Surefire suite","Wed Feb 19 18:10:04 GMT 2025","passed","Wed Feb 19 18:10:04 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","80","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Wed Feb 19 18:10:41 GMT 2025","failed","Wed Feb 19 18:10:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o schema de resposta ao listar usuários por email está correto","529","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Wed Feb 19 18:10:04 GMT 2025","passed","Wed Feb 19 18:10:05 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
