"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se um depósito é realizado corretamente com dados válidos","1931","testAssertDeveListarProdutosCadastrados","Surefire suite","Fri Feb 21 12:14:18 GMT 2025","passed","Fri Feb 21 12:14:20 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","1877","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:14:18 GMT 2025","broken","Fri Feb 21 12:14:19 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","106","testAssertTentaListarProdutoIDInvalido","Surefire suite","Fri Feb 21 12:14:40 GMT 2025","passed","Fri Feb 21 12:14:40 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se o schema de resposta ao listar usuários por email está correto","760","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:14:20 GMT 2025","passed","Fri Feb 21 12:14:20 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se o schema de resposta ao listar usuários por ID está correto","284","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:14:20 GMT 2025","passed","Fri Feb 21 12:14:21 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","247","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:14:41 GMT 2025","passed","Fri Feb 21 12:14:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se um produto pode ser listado corretamente com ID válido","126","testAssertDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:14:40 GMT 2025","failed","Fri Feb 21 12:14:40 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o produto é cadastrado corretamente com dados válidos","1892","testeDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:14:38 GMT 2025","broken","Fri Feb 21 12:14:40 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","81","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Fri Feb 21 12:14:41 GMT 2025","passed","Fri Feb 21 12:14:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o schema de produto por ID está correto","134","testSchemaDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:14:19 GMT 2025","failed","Fri Feb 21 12:14:20 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","85","testTentarListarUsuariosPorIDInexistente","Surefire suite","Fri Feb 21 12:14:41 GMT 2025","passed","Fri Feb 21 12:14:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se os usuários podem ser listados corretamente ao consultar por email","592","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:14:40 GMT 2025","passed","Fri Feb 21 12:14:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
