"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","77","testAssertTentaListarProdutoIDInvalido","Surefire suite","Thu Feb 20 16:58:29 GMT 2025","passed","Thu Feb 20 16:58:29 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","232","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 16:58:30 GMT 2025","passed","Thu Feb 20 16:58:30 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se um produto pode ser listado corretamente com ID válido","133","testAssertDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 16:58:28 GMT 2025","failed","Thu Feb 20 16:58:28 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","1929","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 16:57:56 GMT 2025","broken","Thu Feb 20 16:57:58 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se o schema de resposta ao listar usuários por email está correto","699","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 16:57:58 GMT 2025","passed","Thu Feb 20 16:57:58 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","59","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Thu Feb 20 16:58:30 GMT 2025","failed","Thu Feb 20 16:58:30 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","82","testTentarListarUsuariosPorIDInexistente","Surefire suite","Thu Feb 20 16:58:30 GMT 2025","passed","Thu Feb 20 16:58:30 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se um depósito é realizado corretamente com dados válidos","1247","testAssertDeveListarProdutosCadastrados","Surefire suite","Thu Feb 20 16:58:28 GMT 2025","passed","Thu Feb 20 16:58:29 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se o schema de produto por ID está correto","144","testSchemaDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 16:57:58 GMT 2025","failed","Thu Feb 20 16:57:58 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se o schema de resposta ao listar usuários por ID está correto","288","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 16:57:58 GMT 2025","passed","Thu Feb 20 16:57:59 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se os usuários podem ser listados corretamente ao consultar por email","516","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 16:58:29 GMT 2025","passed","Thu Feb 20 16:58:30 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","1941","testeDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 16:58:26 GMT 2025","broken","Thu Feb 20 16:58:28 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
