"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","309","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:34:09 GMT 2025","passed","Fri Feb 21 12:34:09 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se o schema de resposta ao listar usuários por email está correto","848","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:33:43 GMT 2025","passed","Fri Feb 21 12:33:44 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","1962","testeDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:34:06 GMT 2025","broken","Fri Feb 21 12:34:08 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se o schema de resposta ao listar usuários por ID está correto","367","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:33:44 GMT 2025","passed","Fri Feb 21 12:33:45 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","133","testAssertTentaListarProdutoIDInvalido","Surefire suite","Fri Feb 21 12:34:08 GMT 2025","passed","Fri Feb 21 12:34:09 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se um depósito é realizado corretamente com dados válidos","2398","testAssertDeveListarProdutosCadastrados","Surefire suite","Fri Feb 21 12:33:19 GMT 2025","passed","Fri Feb 21 12:33:21 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se os usuários podem ser listados corretamente ao consultar por email","609","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:34:09 GMT 2025","passed","Fri Feb 21 12:34:09 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","1991","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:33:41 GMT 2025","broken","Fri Feb 21 12:33:43 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","110","testTentarListarUsuariosPorIDInexistente","Surefire suite","Fri Feb 21 12:34:10 GMT 2025","passed","Fri Feb 21 12:34:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","88","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Fri Feb 21 12:34:09 GMT 2025","passed","Fri Feb 21 12:34:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o schema de produto por ID está correto","193","testSchemaDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:33:43 GMT 2025","failed","Fri Feb 21 12:33:43 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se um produto pode ser listado corretamente com ID válido","156","testAssertDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:34:08 GMT 2025","failed","Fri Feb 21 12:34:08 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
