"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","96","testTentarListarUsuariosPorIDInexistente","Surefire suite","Thu Feb 20 14:31:25 GMT 2025","passed","Thu Feb 20 14:31:26 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","104","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Thu Feb 20 14:31:25 GMT 2025","failed","Thu Feb 20 14:31:25 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o schema de produto por ID está correto","161","testSchemaDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 14:31:00 GMT 2025","failed","Thu Feb 20 14:31:01 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se um produto pode ser listado corretamente com ID válido","157","testAssertDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 14:31:23 GMT 2025","failed","Thu Feb 20 14:31:23 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se um depósito é realizado corretamente com dados válidos","1021","testAssertDeveListarProdutosCadastrados","Surefire suite","Thu Feb 20 14:31:23 GMT 2025","passed","Thu Feb 20 14:31:24 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","284","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 14:31:25 GMT 2025","passed","Thu Feb 20 14:31:25 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2395","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 14:30:58 GMT 2025","broken","Thu Feb 20 14:31:00 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","132","testAssertTentaListarProdutoIDInvalido","Surefire suite","Thu Feb 20 14:31:24 GMT 2025","passed","Thu Feb 20 14:31:24 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se os usuários podem ser listados corretamente ao consultar por email","564","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 14:31:24 GMT 2025","passed","Thu Feb 20 14:31:25 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","1923","testeDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 14:31:21 GMT 2025","broken","Thu Feb 20 14:31:23 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se o schema de resposta ao listar usuários por ID está correto","294","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 14:31:01 GMT 2025","passed","Thu Feb 20 14:31:02 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se o schema de resposta ao listar usuários por email está correto","809","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 14:31:01 GMT 2025","passed","Thu Feb 20 14:31:01 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
