"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se o schema de resposta ao listar usuários por ID está correto","315","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:15:17 GMT 2025","passed","Fri Feb 21 12:15:17 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","2027","testeDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:15:40 GMT 2025","broken","Fri Feb 21 12:15:42 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","75","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Fri Feb 21 12:15:43 GMT 2025","passed","Fri Feb 21 12:15:43 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","88","testTentarListarUsuariosPorIDInexistente","Surefire suite","Fri Feb 21 12:15:43 GMT 2025","passed","Fri Feb 21 12:15:43 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","1966","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:15:14 GMT 2025","broken","Fri Feb 21 12:15:16 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","119","testAssertTentaListarProdutoIDInvalido","Surefire suite","Fri Feb 21 12:15:42 GMT 2025","passed","Fri Feb 21 12:15:42 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se um depósito é realizado corretamente com dados válidos","1946","testAssertDeveListarProdutosCadastrados","Surefire suite","Fri Feb 21 12:14:54 GMT 2025","passed","Fri Feb 21 12:14:56 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se os usuários podem ser listados corretamente ao consultar por email","607","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:15:42 GMT 2025","passed","Fri Feb 21 12:15:43 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se um produto pode ser listado corretamente com ID válido","149","testAssertDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:15:42 GMT 2025","failed","Fri Feb 21 12:15:42 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o schema de produto por ID está correto","148","testSchemaDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:15:16 GMT 2025","failed","Fri Feb 21 12:15:16 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","252","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:15:43 GMT 2025","passed","Fri Feb 21 12:15:43 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se o schema de resposta ao listar usuários por email está correto","747","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:15:16 GMT 2025","passed","Fri Feb 21 12:15:17 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
