"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","122","testAssertTentaListarProdutoIDInvalido","Surefire suite","Wed Feb 19 17:49:09 GMT 2025","passed","Wed Feb 19 17:49:09 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","102","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Wed Feb 19 17:49:10 GMT 2025","passed","Wed Feb 19 17:49:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2315","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Wed Feb 19 17:48:41 GMT 2025","passed","Wed Feb 19 17:48:44 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","348","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Wed Feb 19 17:49:10 GMT 2025","passed","Wed Feb 19 17:49:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se o schema de produto por ID está correto","143","testSchemaDeveListarProdutoIDValido","Surefire suite","Wed Feb 19 17:48:44 GMT 2025","passed","Wed Feb 19 17:48:44 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se um depósito é realizado corretamente com dados válidos","853","testAssertDeveListarProdutosCadastrados","Surefire suite","Wed Feb 19 17:49:08 GMT 2025","passed","Wed Feb 19 17:49:09 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se um produto pode ser listado corretamente com ID válido","164","testAssertDeveListarProdutoIDValido","Surefire suite","Wed Feb 19 17:49:08 GMT 2025","passed","Wed Feb 19 17:49:08 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o schema de resposta ao listar usuários por email está correto","610","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Wed Feb 19 17:48:44 GMT 2025","passed","Wed Feb 19 17:48:45 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se o schema de resposta ao listar usuários por ID está correto","381","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Wed Feb 19 17:48:45 GMT 2025","passed","Wed Feb 19 17:48:45 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se os usuários podem ser listados corretamente ao consultar por email","574","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Wed Feb 19 17:49:09 GMT 2025","passed","Wed Feb 19 17:49:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","2332","testeDeveCadastrarProdutoValido","Surefire suite","Wed Feb 19 17:49:06 GMT 2025","failed","Wed Feb 19 17:49:08 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","108","testTentarListarUsuariosPorIDInexistente","Surefire suite","Wed Feb 19 17:49:10 GMT 2025","passed","Wed Feb 19 17:49:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
