"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se o produto é cadastrado corretamente com dados válidos","2044","testeDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 15:30:20 GMT 2025","broken","Thu Feb 20 15:30:22 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se um depósito é realizado corretamente com dados válidos","1109","testAssertDeveListarProdutosCadastrados","Surefire suite","Thu Feb 20 15:30:22 GMT 2025","passed","Thu Feb 20 15:30:23 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se os usuários podem ser listados corretamente ao consultar por email","572","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 15:30:23 GMT 2025","passed","Thu Feb 20 15:30:24 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o schema de resposta ao listar usuários por ID está correto","295","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 15:29:48 GMT 2025","passed","Thu Feb 20 15:29:49 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","67","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Thu Feb 20 15:30:24 GMT 2025","failed","Thu Feb 20 15:30:24 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o schema de resposta ao listar usuários por email está correto","752","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 15:29:47 GMT 2025","passed","Thu Feb 20 15:29:48 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se o schema de produto por ID está correto","148","testSchemaDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 15:29:47 GMT 2025","failed","Thu Feb 20 15:29:47 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se um produto pode ser listado corretamente com ID válido","160","testAssertDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 15:30:22 GMT 2025","failed","Thu Feb 20 15:30:22 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","84","testTentarListarUsuariosPorIDInexistente","Surefire suite","Thu Feb 20 15:30:24 GMT 2025","passed","Thu Feb 20 15:30:24 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","265","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 15:30:24 GMT 2025","passed","Thu Feb 20 15:30:24 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","1950","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 15:29:45 GMT 2025","broken","Thu Feb 20 15:29:47 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","130","testAssertTentaListarProdutoIDInvalido","Surefire suite","Thu Feb 20 15:30:23 GMT 2025","passed","Thu Feb 20 15:30:23 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
