"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se um produto pode ser listado corretamente com ID válido","137","testAssertDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 17:01:33 GMT 2025","failed","Thu Feb 20 17:01:34 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o schema de resposta ao listar usuários por ID está correto","413","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 17:01:10 GMT 2025","passed","Thu Feb 20 17:01:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","102","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Thu Feb 20 17:01:36 GMT 2025","passed","Thu Feb 20 17:01:36 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o produto é cadastrado corretamente com dados válidos","1810","testeDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 17:01:32 GMT 2025","broken","Thu Feb 20 17:01:33 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","232","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 17:01:35 GMT 2025","passed","Thu Feb 20 17:01:36 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se os usuários podem ser listados corretamente ao consultar por email","531","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 17:01:35 GMT 2025","passed","Thu Feb 20 17:01:35 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","85","testTentarListarUsuariosPorIDInexistente","Surefire suite","Thu Feb 20 17:01:36 GMT 2025","passed","Thu Feb 20 17:01:36 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2090","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 17:01:07 GMT 2025","broken","Thu Feb 20 17:01:09 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se o schema de resposta ao listar usuários por email está correto","824","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 17:01:09 GMT 2025","passed","Thu Feb 20 17:01:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","109","testAssertTentaListarProdutoIDInvalido","Surefire suite","Thu Feb 20 17:01:35 GMT 2025","passed","Thu Feb 20 17:01:35 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se o schema de produto por ID está correto","163","testSchemaDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 17:01:09 GMT 2025","failed","Thu Feb 20 17:01:09 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se um depósito é realizado corretamente com dados válidos","1256","testAssertDeveListarProdutosCadastrados","Surefire suite","Thu Feb 20 17:01:34 GMT 2025","passed","Thu Feb 20 17:01:35 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
