"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se um depósito é realizado corretamente com dados válidos","1334","testAssertDeveListarProdutosCadastrados","Surefire suite","Thu Feb 20 17:37:07 GMT 2025","passed","Thu Feb 20 17:37:08 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se o schema de produto por ID está correto","189","testSchemaDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 17:36:39 GMT 2025","failed","Thu Feb 20 17:36:39 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","100","testTentarListarUsuariosPorIDInexistente","Surefire suite","Thu Feb 20 17:37:10 GMT 2025","passed","Thu Feb 20 17:37:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se um produto pode ser listado corretamente com ID válido","160","testAssertDeveListarProdutoIDValido","Surefire suite","Thu Feb 20 17:37:07 GMT 2025","failed","Thu Feb 20 17:37:07 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o schema de resposta ao listar usuários por email está correto","828","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 17:36:39 GMT 2025","passed","Thu Feb 20 17:36:40 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se o schema de resposta ao listar usuários por ID está correto","354","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 17:36:40 GMT 2025","passed","Thu Feb 20 17:36:41 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","2042","testeDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 17:37:05 GMT 2025","broken","Thu Feb 20 17:37:07 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","104","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Thu Feb 20 17:37:10 GMT 2025","passed","Thu Feb 20 17:37:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2089","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Thu Feb 20 17:36:37 GMT 2025","broken","Thu Feb 20 17:36:39 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se os usuários podem ser listados corretamente ao consultar por email","642","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Thu Feb 20 17:37:09 GMT 2025","passed","Thu Feb 20 17:37:09 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","324","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Thu Feb 20 17:37:09 GMT 2025","passed","Thu Feb 20 17:37:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","112","testAssertTentaListarProdutoIDInvalido","Surefire suite","Thu Feb 20 17:37:08 GMT 2025","passed","Thu Feb 20 17:37:09 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
