"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se um depósito é realizado corretamente com dados válidos","172","testAssertDeveListarProdutosCadastrados","Surefire suite","Fri Feb 21 12:36:03 GMT 2025","passed","Fri Feb 21 12:36:04 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se o schema de resposta ao listar usuários por email está correto","765","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:35:24 GMT 2025","passed","Fri Feb 21 12:35:25 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se um produto pode ser listado corretamente com ID válido","141","testAssertDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:36:03 GMT 2025","failed","Fri Feb 21 12:36:03 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o schema de resposta ao listar usuários por ID está correto","283","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:35:25 GMT 2025","passed","Fri Feb 21 12:35:25 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","2524","testeDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:36:01 GMT 2025","broken","Fri Feb 21 12:36:03 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","79","testTentarListarUsuariosPorIDInexistente","Surefire suite","Fri Feb 21 12:36:05 GMT 2025","passed","Fri Feb 21 12:36:05 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","82","testAssertTentaListarProdutoIDInvalido","Surefire suite","Fri Feb 21 12:36:04 GMT 2025","passed","Fri Feb 21 12:36:04 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2180","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:35:22 GMT 2025","broken","Fri Feb 21 12:35:24 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","245","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:36:04 GMT 2025","passed","Fri Feb 21 12:36:05 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se os usuários podem ser listados corretamente ao consultar por email","601","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:36:04 GMT 2025","passed","Fri Feb 21 12:36:04 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","93","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Fri Feb 21 12:36:05 GMT 2025","passed","Fri Feb 21 12:36:05 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se o schema de produto por ID está correto","137","testSchemaDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:35:24 GMT 2025","failed","Fri Feb 21 12:35:24 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
