"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se o schema de produto por ID está correto","173","testSchemaDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:26:23 GMT 2025","failed","Fri Feb 21 12:26:23 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","141","testAssertTentaListarProdutoIDInvalido","Surefire suite","Fri Feb 21 12:26:47 GMT 2025","passed","Fri Feb 21 12:26:48 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se um depósito é realizado corretamente com dados válidos","2241","testAssertDeveListarProdutosCadastrados","Surefire suite","Fri Feb 21 12:25:52 GMT 2025","passed","Fri Feb 21 12:25:54 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","118","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Fri Feb 21 12:26:49 GMT 2025","passed","Fri Feb 21 12:26:49 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","344","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:26:48 GMT 2025","passed","Fri Feb 21 12:26:49 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se o schema de resposta ao listar usuários por email está correto","831","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:26:23 GMT 2025","passed","Fri Feb 21 12:26:24 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se o schema de resposta ao listar usuários por ID está correto","369","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:26:24 GMT 2025","passed","Fri Feb 21 12:26:24 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se um produto pode ser listado corretamente com ID válido","172","testAssertDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:26:47 GMT 2025","failed","Fri Feb 21 12:26:47 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","108","testTentarListarUsuariosPorIDInexistente","Surefire suite","Fri Feb 21 12:26:49 GMT 2025","passed","Fri Feb 21 12:26:49 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se os usuários podem ser listados corretamente ao consultar por email","724","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:26:48 GMT 2025","passed","Fri Feb 21 12:26:48 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos","1855","testeDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:26:45 GMT 2025","broken","Fri Feb 21 12:26:47 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2051","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:26:21 GMT 2025","broken","Fri Feb 21 12:26:23 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
