"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se o schema de resposta ao listar usuários por email está correto","843","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:30:08 GMT 2025","passed","Fri Feb 21 12:30:09 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","83","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Fri Feb 21 12:30:29 GMT 2025","passed","Fri Feb 21 12:30:29 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","271","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:30:29 GMT 2025","passed","Fri Feb 21 12:30:29 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
"Valida se um depósito é realizado corretamente com dados válidos","2331","testAssertDeveListarProdutosCadastrados","Surefire suite","Fri Feb 21 12:29:42 GMT 2025","passed","Fri Feb 21 12:29:45 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","152","testTentarListarUsuariosPorIDInexistente","Surefire suite","Fri Feb 21 12:30:29 GMT 2025","passed","Fri Feb 21 12:30:29 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se o produto é cadastrado corretamente com dados válidos","1841","testeDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:30:26 GMT 2025","broken","Fri Feb 21 12:30:28 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se os usuários podem ser listados corretamente ao consultar por email","614","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:30:28 GMT 2025","passed","Fri Feb 21 12:30:29 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","2085","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:30:06 GMT 2025","broken","Fri Feb 21 12:30:08 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","95","testAssertTentaListarProdutoIDInvalido","Surefire suite","Fri Feb 21 12:30:28 GMT 2025","passed","Fri Feb 21 12:30:28 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se um produto pode ser listado corretamente com ID válido","131","testAssertDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:30:28 GMT 2025","failed","Fri Feb 21 12:30:28 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se o schema de produto por ID está correto","152","testSchemaDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:30:08 GMT 2025","failed","Fri Feb 21 12:30:08 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se o schema de resposta ao listar usuários por ID está correto","327","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:30:09 GMT 2025","passed","Fri Feb 21 12:30:10 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
