"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se um produto pode ser listado corretamente com ID válido","130","testAssertDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:25:38 GMT 2025","failed","Fri Feb 21 12:25:38 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutoIDValido"
"Valida se ao tentar listar um usuário com ID inválido, a resposta contém a mensagem de erro correta","90","testTentarListarUsuariosPorIDInexistente","Surefire suite","Fri Feb 21 12:25:39 GMT 2025","passed","Fri Feb 21 12:25:39 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorIDInexistente"
"Valida se a tentativa de listar um produto com ID inválido retorna o erro correto","118","testAssertTentaListarProdutoIDInvalido","Surefire suite","Fri Feb 21 12:25:38 GMT 2025","passed","Fri Feb 21 12:25:38 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertTentaListarProdutoIDInvalido"
"Valida se um depósito é realizado corretamente com dados válidos","1963","testAssertDeveListarProdutosCadastrados","Surefire suite","Fri Feb 21 12:24:54 GMT 2025","passed","Fri Feb 21 12:24:56 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testAssertDeveListarProdutosCadastrados"
"Valida se o schema de produto por ID está correto","153","testSchemaDeveListarProdutoIDValido","Surefire suite","Fri Feb 21 12:25:17 GMT 2025","failed","Fri Feb 21 12:25:17 GMT 2025","com.vemser.rest.tests.usuarios.GetProdutosTest","Surefire test","com.vemser.rest.tests.usuarios.GetProdutosTest","testSchemaDeveListarProdutoIDValido"
"Valida se ao tentar listar usuários com um email inválido, a resposta contém a mensagem de erro correta","92","testTentarListarUsuariosPorEmailInvalido","Surefire suite","Fri Feb 21 12:25:39 GMT 2025","passed","Fri Feb 21 12:25:39 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testTentarListarUsuariosPorEmailInvalido"
"Valida se os usuários podem ser listados corretamente ao consultar por email","615","testDeveListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:25:38 GMT 2025","passed","Fri Feb 21 12:25:39 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorEmailComSucesso"
"Valida se o schema de resposta ao listar usuários por ID está correto","292","testSchemaListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:25:18 GMT 2025","passed","Fri Feb 21 12:25:18 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorIDComSucesso"
"Valida se o produto é cadastrado corretamente com dados válidos e schema esperado","1967","testeSchemaDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:25:15 GMT 2025","broken","Fri Feb 21 12:25:17 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeSchemaDeveCadastrarProdutoValido"
"Valida se o produto é cadastrado corretamente com dados válidos","1847","testeDeveCadastrarProdutoValido","Surefire suite","Fri Feb 21 12:25:36 GMT 2025","broken","Fri Feb 21 12:25:38 GMT 2025","com.vemser.rest.tests.usuarios.PostProdutoTest","Surefire test","com.vemser.rest.tests.usuarios.PostProdutoTest","testeDeveCadastrarProdutoValido"
"Valida se o schema de resposta ao listar usuários por email está correto","675","testSchemaListarUsuariosPorEmailComSucesso","Surefire suite","Fri Feb 21 12:25:17 GMT 2025","passed","Fri Feb 21 12:25:18 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testSchemaListarUsuariosPorEmailComSucesso"
"Valida se os dados do usuário podem ser recuperados corretamente ao consultar por ID","238","testDeveListarUsuariosPorIDComSucesso","Surefire suite","Fri Feb 21 12:25:39 GMT 2025","passed","Fri Feb 21 12:25:39 GMT 2025","com.vemser.rest.tests.usuarios.GetUsuariosTest","Surefire test","com.vemser.rest.tests.usuarios.GetUsuariosTest","testDeveListarUsuariosPorIDComSucesso"
